# Строки: слово | транскрипция | перевод
# Транскрипция — как читается русскими буквами. Можно не писать: тогда слово
# будет показано без неё. Добавляй свои слова, интервальное повторение подхватит.
accurate | экьюрэт | точный
adjust | эджаст | настраивать
advantage | эдвантэдж | преимущество
attempt | этэмпт | попытка
available | эвэйлэбл | доступный
avoid | эвойд | избегать
barely | бээли | едва
benefit | банэфэт | польза
comfort | камфэт | комфорт
commit | комит | совершать
common | комэн | общий, обычный
compare | кэмпээ | сравнивать
concern | кэнсёрн | беспокойство
confident | конфидэнт | уверенный
convenient | кэнвиниэнт | удобный
crucial | крушл | решающий
custom | кастэм | настраиваемый
decade | дэкэйд | десятилетие
demand | диманд | требование
depend | дипэнд | зависеть
device | дивайс | устройство
efficient | эфишнт | эффективный
eliminate | элимэнэйт | устранять
enable | энэйбл | позволять, включать
estimate | эстэмэйт | оценивать
exceed | эксэд | превышать
expand | икспэнд | расширять
familiar | фэмильэ | знакомый
feature | фиче | функция
genuine | джэньюин | подлинный
gradually | грэджуэли | постепенно
handle | хэндэл | справляться
improve | импрув | улучшать
increase | инкрис | увеличивать
indicate | индикэйт | указывать
influence | инфлюэнс | влияние
maintain | мэйнтэйн | поддерживать
measure | мэжэ | измерять
monitor | монитэ | следить, отслеживать
occur | экё | случаться
pattern | пэтэн | закономерность
prevent | привэнг | предотвращать
previous | привиэс | предыдущий
reliable | рилайэбл | надёжный
require | риквайэ | требовать
respond | риспанд | отвечать
restore | ристор | восстанавливать
secure | сикьюэ | защищённый
significant | сигнификэнт | значительный
solution | сэлюшн | решение
support | сэпот | поддержка
update | апдэйт | обновлять
valuable | вэлюэбл | ценный
version | вёжн | версия
warning | вонинг | предупреждение
# --- глаголы каждый день ---
achieve | эчив | достигать
agree | эгри | соглашаться
allow | элау | разрешать
appear | эпиэ | появляться
arrange | эрэйндж | организовывать
assume | эсюм | предполагать
attend | этэнд | посещать
bring | бринг | приносить
build | билд | строить
buy | бай | покупать
call | кол | звонить, называть
cancel | кэнсэл | отменять
catch | кэтч | ловить
celebrate | сэлэбрэйт | праздновать
change | чэйндж | менять
choose | чуз | выбирать
clean | клин | чистить
continue | континью | продолжать
cook | кук | готовить
create | криэйт | создавать
decide | дисайд | решать
deliver | диливэ | доставлять
describe | дискрайб | описывать
develop | дивэлэп | развивать
discover | дискавэ | обнаруживать
discuss | дискас | обсуждать
drive | драйв | водить
earn | ёрн | зарабатывать
enjoy | инджой | наслаждаться
explain | иксплэйн | объяснять
feel | фил | чувствовать
find | файнд | находить
finish | финиш | заканчивать
fix | фикс | чинить
forget | фогет | забывать
give | гив | давать
grow | гроу | расти
guess | гэс | угадывать
happen | хэпэн | случаться
hate | хэйт | ненавидеть
help | хэлп | помогать
hide | хайд | прятать
hold | холд | держать
hope | хоуп | надеяться
invite | инвайт | приглашать
join | джойн | присоединяться
keep | кип | хранить
learn | лэрн | учить
leave | лив | уходить
lend | лэнд | давать в долг
listen | лисн | слушать
lose | луз | терять
meet | мит | встречать
move | мув | двигаться
notice | ноутис | замечать
order | одэ | заказывать
pay | пэй | платить
plan | плэн | планировать
play | плэй | играть
practice | прэктис | практиковать
prepare | припээ | готовиться
push | пуш | толкать
read | рид | читать
receive | рисив | получать
remember | римэмбэ | помнить
repeat | рипит | повторять
return | ритён | возвращаться
save | сэйв | экономить
send | сэнд | отправлять
show | шоу | показывать
speak | спик | говорить
spend | спэнд | тратить
start | старт | начинать
stay | стэй | оставаться
stop | стоп | останавливаться
study | стади | учиться
talk | ток | разговаривать
teach | тич | учить, обучать
tell | тэл | рассказывать
think | синк | думать
throw | сроу | бросать
travel | трэвэл | путешествовать
try | трай | пытаться
turn | тён | поворачивать
understand | андерстэнд | понимать
use | юз | использовать
visit | визит | посещать
wait | уэйт | ждать
walk | уок | гулять
want | уонт | хотеть
watch | уотч | смотреть
wear | уээ | носить
win | уин | выигрывать
work | уэрк | работать
write | райт | писать
# --- существительные: дом и жизнь ---
apartment | эпартмэнт | квартира
bottle | ботл | бутылка
breakfast | брэкфэст | завтрак
building | билдинг | здание
city | сити | город
country | кантри | страна
dinner | динэ | ужин
doctor | дактэ | врач
door | дор | дверь
family | фэмэли | семья
friend | фрэнд | друг
garden | гардн | сад
hospital | хоспитл | больница
journey | джёни | путешествие
kitchen | кичн | кухня
language | лэнгвэдж | язык
lunch | ланч | обед
mistake | мистэйк | ошибка
money | мани | деньги
noise | нойз | шум
people | пипл | люди
price | прайс | цена
room | рум | комната
street | стрит | улица
student | стьюдэнт | студент
teacher | тиче | учитель
time | тайм | время
water | уотэ | вода
weather | уэдэ | погода
week | уик | неделя
window | уиндоу | окно
world | уорлд | мир
year | йиэ | год
# --- прилагательные ---
afraid | эфрэйд | испуганный
angry | энгри | злой
beautiful | бьютифэл | красивый
boring | боринг | скучный
busy | бизи | занятой
careful | кэфэл | осторожный
cheap | чип | дешёвый
cold | колд | холодный
